method,split,num_bins,per_timestep,pos_loss,xy_mse,xy_mae,max_error_by_second,p99_error_by_second,notes
xy_uniform_bins,train,8,False,15.10415267944336,15.10415267944336,3.514047861099243,1s=7.865678 2s=8.186600 3s=8.185511 4s=8.181767 5s=8.189067,1s=5.342125 2s=7.561327 3s=7.589899 4s=7.629028 5s=7.677727,absolute_xy_centers
xy_uniform_bins,val,8,False,15.253357887268066,15.253357887268066,3.534432888031006,1s=6.353421 2s=11.567241 3s=8.188776 4s=9.883307 5s=11.647267,1s=5.333679 2s=7.662403 3s=7.624752 4s=7.657216 5s=7.761755,absolute_xy_centers
xy_uniform_bins,train,50,False,0.5059364438056946,0.5059364438056946,0.5917523503303528,1s=1.310149 2s=1.309357 3s=1.308025 4s=1.309314 5s=1.310251,1s=1.225664 2s=1.243180 3s=1.227893 4s=1.240237 5s=1.247733,absolute_xy_centers
xy_uniform_bins,val,50,False,0.5195603966712952,0.5195603966712952,0.5995633602142334,1s=1.303101 2s=4.688425 3s=1.308680 4s=3.004490 5s=4.768451,1s=1.188562 2s=1.236099 3s=1.244120 4s=1.233273 5s=1.251061,absolute_xy_centers
xy_uniform_bins,train,64,False,0.09022598713636398,0.09022598713636398,0.2389010488986969,1s=1.023019 2s=1.022034 3s=1.023401 4s=1.021786 5s=1.023636,1s=0.957910 2s=0.961068 3s=0.970993 4s=0.963748 5s=0.978520,absolute_xy_centers
xy_uniform_bins,val,64,False,0.08838923275470734,0.08838923275470734,0.2336120903491974,1s=1.016835 2s=4.401807 3s=1.023344 4s=2.717873 5s=4.481834,1s=0.932706 2s=0.964603 3s=0.967242 4s=0.930827 5s=0.969687,absolute_xy_centers
xy_uniform_bins,train,128,False,0.05119096115231514,0.05119096115231514,0.19276465475559235,1s=0.511644 2s=0.510218 3s=0.511584 4s=0.511276 5s=0.511817,1s=0.485395 2s=0.479982 3s=0.488946 4s=0.490770 5s=0.486142,absolute_xy_centers
xy_uniform_bins,val,128,False,0.054416656494140625,0.054416656494140625,0.19411663711071014,1s=0.511320 2s=3.889991 3s=0.511526 4s=2.206056 5s=3.970017,1s=0.489820 2s=0.487014 3s=0.488070 4s=0.484927 5s=0.490656,absolute_xy_centers
xy_uniform_bins,train,256,False,0.005707605741918087,0.005707605741918087,0.057795457541942596,1s=0.255735 2s=0.255797 3s=0.255867 4s=0.255688 5s=0.255908,1s=0.242155 2s=0.241651 3s=0.242994 4s=0.243700 5s=0.242414,absolute_xy_centers
xy_uniform_bins,val,256,False,0.008166912943124771,0.008166912943124771,0.05763630568981171,1s=0.255412 2s=3.634082 3s=0.255619 4s=1.950148 5s=3.714109,1s=0.237913 2s=0.245144 3s=0.237696 4s=0.241153 5s=0.243389,absolute_xy_centers
