mode,degree,threshold,levels,avg_tokens,p50_tokens,p90_tokens,xy_mse,xy_mae,max_error,p99_error,max_first3s_p99,p99_by_second,max_by_second,p99_first3s_steps,token_duration_vocab,coeff_scalars_per_token
dp_continuous,2,0.2,continuous,1.1697192192077637,1.0,2.0,0.0015543140470981598,0.01616460084915161,0.19953107833862305,0.1626463383436203,0.16971930861473083,1s=0.153420 2s=0.164980 3s=0.155589 4s=0.175211 5s=0.171093,1s=0.183373 2s=0.198750 3s=0.196338 4s=0.199531 5s=0.191804,0.157367 0.153420 0.162007 0.164980 0.169719 0.155589,,
dp_quantized_global_coeff,2,0.2,4,1.1697192192077637,1.0,2.0,17.38580894470215,2.441099166870117,34.39417266845703,18.57263946533203,13.761833190917969,1s=9.011468 2s=9.105832 3s=13.761833 4s=19.028389 5s=27.234434,1s=13.844788 2s=28.719860 3s=18.378626 4s=25.625427 5s=34.394173,1.816739 9.011468 9.588591 9.105832 10.639687 13.761833,10,6
dp_quantized_duration_coeff,2,0.2,4,1.1697192192077637,1.0,2.0,12.782696723937988,2.080606698989868,30.840919494628906,14.6426420211792,10.746665954589844,1s=2.124308 2s=6.325961 3s=10.746666 4s=15.545276 5s=21.383013,1s=7.216556 2s=9.930549 3s=14.738304 4s=22.488754 5s=30.840919,0.331821 2.124308 4.249187 6.325961 8.379995 10.746666,10,6
dp_quantized_global_coeff,2,0.2,8,1.1697192192077637,1.0,2.0,3.334141254425049,1.013641119003296,14.445741653442383,8.392772674560547,6.931532382965088,1s=6.931532 2s=4.415473 3s=5.823460 4s=8.515252 5s=11.669367,1s=9.557087 2s=13.908999 3s=10.119743 4s=10.628092 5s=14.445742,0.331821 6.931532 4.522849 4.415473 4.775271 5.823460,10,6
dp_quantized_duration_coeff,2,0.2,8,1.1697192192077637,1.0,2.0,1.9017728567123413,0.7467795014381409,13.207427978515625,6.257107257843018,4.857248783111572,1s=0.948358 2s=2.772395 3s=4.857249 4s=6.946347 5s=9.570599,1s=2.348552 2s=8.800781 3s=6.344362 4s=9.594891 5s=13.207428,0.331821 0.948358 1.880195 2.772395 3.676738 4.857249,10,6
dp_quantized_global_coeff,2,0.2,16,1.1697192192077637,1.0,2.0,3.6668357849121094,1.2527494430541992,7.746572017669678,5.616525173187256,2.6683220863342285,1s=2.647423 2s=1.998634 3s=2.668322 4s=4.019631 5s=5.629480,1s=4.104711 2s=5.124474 3s=3.903820 4s=5.314407 5s=7.746572,0.627103 2.647423 2.427877 1.998634 2.172341 2.668322,10,6
dp_quantized_duration_coeff,2,0.2,16,1.1697192192077637,1.0,2.0,1.0801105499267578,0.6395571827888489,8.348875045776367,3.263460636138916,2.5279183387756348,1s=0.473183 2s=1.422214 3s=2.527918 4s=3.862821 5s=5.220002,1s=1.026277 2s=8.348875 3s=3.019978 4s=5.652681 5s=7.605478,0.275851 0.473183 0.935959 1.422214 1.961159 2.527918,10,6
dp_quantized_global_coeff,2,0.2,32,1.1697192192077637,1.0,2.0,0.22981536388397217,0.3402024209499359,3.541860342025757,1.8794407844543457,1.5159072875976562,1s=1.048219 2s=1.065016 3s=1.515907 4s=2.035315 5s=2.615853,1s=2.090692 2s=3.192269 3s=1.721141 4s=2.420504 5s=3.541860,0.331821 1.048219 1.126692 1.065016 1.250627 1.515907,10,6
dp_quantized_duration_coeff,2,0.2,32,1.1697192192077637,1.0,2.0,0.2552282214164734,0.3179733455181122,7.662264823913574,1.5158963203430176,1.1514111757278442,1s=0.276031 2s=0.706951 3s=1.151411 4s=1.752485 5s=2.354360,1s=1.026277 2s=7.379461 3s=2.876789 4s=5.652681 5s=7.662265,0.181680 0.276031 0.480510 0.706951 0.907161 1.151411,10,6
dp_quantized_global_coeff,2,0.2,64,1.1697192192077637,1.0,2.0,0.12023375183343887,0.2678493857383728,1.882075548171997,0.9627960920333862,0.8163473010063171,1s=0.662937 2s=0.685210 3s=0.816347 4s=1.034741 5s=1.319465,1s=1.276098 2s=1.598761 3s=1.174847 4s=1.545761 5s=1.882076,0.331821 0.662937 0.669482 0.685210 0.733453 0.816347,10,6
dp_quantized_duration_coeff,2,0.2,64,1.1697192192077637,1.0,2.0,0.09102632850408554,0.17271773517131805,7.671013832092285,0.7598945498466492,0.5507274866104126,1s=0.188209 2s=0.373388 3s=0.550727 4s=0.848042 5s=1.114482,1s=1.026277 2s=7.671014 3s=2.864318 4s=5.652681 5s=7.629429,0.179718 0.188209 0.301153 0.373388 0.428504 0.550727,10,6
dp_quantized_global_coeff,2,0.2,128,1.1697192192077637,1.0,2.0,0.026680735871195793,0.11678987741470337,1.7192516326904297,0.5146878361701965,0.4491179883480072,1s=0.349203 2s=0.374049 3s=0.449118 4s=0.557857 5s=0.739001,1s=0.694456 2s=0.666140 3s=0.595745 4s=1.191545 5s=1.719252,0.331821 0.349203 0.380208 0.374049 0.394509 0.449118,10,6
dp_quantized_duration_coeff,2,0.2,128,1.1697192192077637,1.0,2.0,0.05109873786568642,0.10563122481107712,7.626534938812256,0.46233969926834106,0.3462570309638977,1s=0.169824 2s=0.251355 3s=0.346257 4s=0.523709 5s=0.708986,1s=1.026277 2s=7.626535 3s=2.864042 4s=5.652681 5s=7.613399,0.157412 0.169824 0.210356 0.251355 0.279931 0.346257,10,6
dp_quantized_global_coeff,2,0.2,256,1.1697192192077637,1.0,2.0,0.005854640621691942,0.044849902391433716,1.6164608001708984,0.2840909957885742,0.24195989966392517,1s=0.207530 2s=0.241960 3s=0.229504 4s=0.322547 5s=0.399348,1s=0.694456 2s=0.751500 3s=0.355727 4s=1.106876 5s=1.616461,0.142893 0.207530 0.238741 0.241960 0.234012 0.229504,10,6
dp_quantized_duration_coeff,2,0.2,256,1.1697192192077637,1.0,2.0,0.033228665590286255,0.04241294041275978,7.697597026824951,0.2615748941898346,0.22111815214157104,1s=0.162809 2s=0.192713 3s=0.221118 4s=0.338396 5s=0.421420,1s=1.026277 2s=7.697597 3s=2.866799 4s=5.652681 5s=7.620271,0.157392 0.162809 0.179920 0.192713 0.206186 0.221118,10,6
residual_fsq,,,,1,,,0.022105272859334946,0.05743966996669769,5.342707633972168,0.6807487607002258,0.6385679244995117,1s=0.322706 2s=0.459939 3s=0.638568 4s=0.727647 5s=1.138485,,,,
