method,split,num_bins,per_timestep,pos_loss,xy_mse,xy_mae,max_error_by_second,notes
xy_uniform_bins,train,16,True,0.3522143065929413,0.9602333307266235,0.6311813592910767,1s=0.830580 2s=1.748018 3s=2.685130 4s=3.629441 5s=4.589159,absolute_xy_centers
xy_uniform_bins,val,16,True,0.3510822653770447,0.9572558999061584,0.6297855377197266,1s=0.828365 2s=1.736370 3s=2.682261 4s=3.622480 5s=4.568218,absolute_xy_centers
xy_uniform_bins,train,32,True,0.10629461705684662,0.22262291610240936,0.33071425557136536,1s=0.415290 2s=0.874009 3s=1.342567 4s=1.814721 5s=2.294586,absolute_xy_centers
xy_uniform_bins,val,32,True,0.10638120770454407,0.22262410819530487,0.33122748136520386,1s=0.674889 2s=1.419043 3s=1.608850 4s=1.807758 5s=2.288109,absolute_xy_centers
xy_uniform_bins,train,64,True,0.05258315056562424,0.1051815077662468,0.20668169856071472,1s=0.207645 2s=0.437005 3s=0.671283 4s=0.907364 5s=1.147293,absolute_xy_centers
xy_uniform_bins,val,64,True,0.05305773764848709,0.10615936666727066,0.20754598081111908,1s=0.646284 2s=1.312541 3s=1.385670 4s=0.900398 5s=1.147007,absolute_xy_centers
xy_uniform_bins,train,128,True,0.011625181883573532,0.023250363767147064,0.10260950773954391,1s=0.103823 2s=0.218502 3s=0.335641 4s=0.453682 5s=0.573645,absolute_xy_centers
xy_uniform_bins,val,128,True,0.011812439188361168,0.023641765117645264,0.10288508236408234,1s=0.631982 2s=1.259291 3s=1.274080 4s=0.446718 5s=0.573360,absolute_xy_centers
xy_uniform_bins,train,256,True,0.0023484977427870035,0.004696995485574007,0.04558081179857254,1s=0.051911 2s=0.109253 3s=0.167824 4s=0.226840 5s=0.286822,absolute_xy_centers
xy_uniform_bins,val,256,True,0.002544422633945942,0.005101691000163555,0.045890867710113525,1s=0.624830 2s=1.232666 3s=1.218287 4s=0.225735 5s=0.286533,absolute_xy_centers
mlp_fsq_best_val,train,,,0.018479835175530264,,,1s=1.752033 2s=2.122466 3s=2.167929 4s=2.558167 5s=3.106537,checkpoint_epoch=568
mlp_fsq_best_val,val,,,0.03168839108658288,,,1s=1.238398 2s=2.770185 3s=4.986741 4s=6.631495 5s=8.309866,checkpoint_epoch=568
